Open_time,open,high,low,close,volume
2018-01-01,13715.65,17176.24,9035.00,10285.10,816675.56
2018-02-01,10285.10,11786.01,6000.01,10326.76,1243940.86
2018-03-01,10325.64,11710.00,6600.10,6923.91,1235326.31
2018-04-01,6922.00,9759.82,6430.00,9246.01,1110964.02
2018-05-01,9246.01,10020.00,7032.95,7485.01,914476.38
2018-06-01,7485.01,7786.69,5750.00,6390.07,942249.77
2018-07-01,6391.08,8491.77,6070.00,7730.93,1102510.44
2018-08-01,7735.67,7750.00,5880.00,7011.21,1408159.82
2018-09-01,7011.21,7410.00,6111.00,6626.57,1100653.42
2018-10-01,6626.57,7680.00,6205.00,6371.93,629922.09
2018-11-01,6369.52,6615.15,3652.66,4041.32,1210366.56
2018-12-01,4041.27,4312.99,3156.26,3702.90,1591229.61
2019-01-01,3701.23,4069.80,3349.92,3434.10,908244.14
2019-02-01,3434.10,4198.00,3373.10,3813.69,861783.99
2019-03-01,3814.26,4140.00,3670.69,4103.95,787190.49
2019-04-01,4102.44,5600.00,4067.00,5320.81,1126961.32
2019-05-01,5321.94,9074.26,5316.20,8555.00,1498410.03
2019-06-01,8555.00,13970.00,7444.58,10854.10,1689489.65
2019-07-01,10854.10,13147.08,9060.00,10080.53,1886176.07
2019-08-01,10080.53,12330.70,9320.00,9587.47,1201961.58
2019-09-01,9588.74,10905.87,7710.00,8289.34,1116856.48
2019-10-01,8289.97,10370.00,7300.00,9140.85,1446763.02
2019-11-01,9140.86,9513.68,6515.00,7541.89,1499118.77
2019-12-01,7540.63,7750.00,6435.00,7195.23,1307033.02
2020-01-01,7195.24,9578.00,6871.04,9352.89,1691323.14
2020-02-01,9351.71,10500.00,8445.00,8523.61,1609726.15
2020-03-01,8523.61,9188.00,3782.13,6410.44,3789768.91
2020-04-01,6412.14,9460.00,6150.11,8620.00,2528373.69
2020-05-01,8620.00,10067.00,8117.00,9448.27,2685340.08
2020-06-01,9448.27,10380.00,8833.00,9138.55,1504745.52
2020-07-01,9138.08,11444.00,8893.03,11335.46,1507827.21
2020-08-01,11335.46,12468.00,10518.50,11649.51,1891193.01
2020-09-01,11649.51,12050.85,9825.00,10776.59,1730389.16
2020-10-01,10776.59,14100.00,10374.00,13791.00,1592634.42
2020-11-01,13791.00,19863.16,13195.05,19695.87,2707064.91
2020-12-01,19695.87,29300.00,17572.33,28923.63,2495281.86
